id|industry|geography|most_common_browser|session_time_prior_month_seconds|prior_month_paid
1585597623|n/a|GB|Chrome|1092|25.60759469228055
6531970533|healthcare|US|Firefox|2480|115.57949357461537
8443866239|health care|Canada|Chrome|1671|89.46224577336218
1480089466|healthcare|Greece|Chrome|465|33.836122886681096
6170390298|marketing agency|USA|Firefox|1477|129.39441541679835
1156146177|healthcare|USA|Chrome|831|99.644379124341
9733351931|Marketing Agency|CA|Firefox|34|90.73
2998276931|software|Greece|Firefox|1276|39.93910149055313
8761227506|marketing agency|USA|Chrome|288|116.81147180559945
9299344288|health care|America|IE|2872|116.6605020110221
0841787598|unknown|USA|Firefox|2017|92.3289527279837
5844951821|unk|CA|IE|7691|85.33561646129647
7392304044|unk|CA|Safari|2408|79.04949357461537
3512459072|mktg agency|United States|IE|2421|139.29949357461538
0027595088|software|Esp|Chrome|3478|53.63371757896165
4029708490|marketing agency|CA|Chrome|212|103.61147180559946
7565513377|mktg agency|Greece|Chrome|659|62.28294361119891
4284920709|Marketing Agency|UK|Safari|485|69.24612288668109
0073701252|health care|GB|Chrome|10806|66.94333185232472
0274417988|mktg agency|Esp|Chrome|5256|83.7983686600433
6259701537|Marketing Agency|CA|Chrome|231|104.37147180559946
4565519944|NULL|Esp|Chrome|3487|35.68371757896165
3772042260|N/A|CA|Chrome|1247|70.45910149055314
6771750183|mktg agency|India|Chrome|1045|64.02759469228054
4554985024|health care|Canada|Chrome|871|86.264379124341
5077613600|Marketing Agency|USA|IE|639|123.4929436111989
2111447112|n/a|US|Chrome|5062|102.51096538021483
9582917380|healthcare|GB|Chrome|1465|47.19441541679836
5518637956|Marketing Agency|USA|IE|1033|123.22759469228055
6868044742|software|Canada|Chrome|663|81.8729436111989
4904700936|n/a|USA|Chrome|1039|86.79759469228054
3432826343|N/A|Pakistan|IE|229|12.641471805599453
6120423303|software|America|Safari|1044|101.62759469228054
8056445614|software|America|Safari|4031|109.65522437723422
7001709946|software|Esp|Chrome|1209|44.58910149055313
7384540494|marketing agency|US|Safari|645|121.5829436111989
4622163190|marketing agency|United Kingdom|Chrome|268|64.57147180559946
0826045223|Marketing Agency|Canada|IE|622|112.4929436111989
6171355932|healthcare|Esp|IE|4850|59.068758248682
2767974238|software|United States|IE|2477|108.27949357461536
4112756116|marketing agency|Esp|Chrome|481|56.0361228866811
0774031605|NULL|USA|Chrome|1254|85.33910149055313
7703059262|healthcare|CA|IE|486|84.6461228866811
4699538460|software|Canada|Safari|7861|100.93879454113936
5745896347|health care|England|Chrome|1838|57.79585092994046
7296231047|healthcare|America|Chrome|700|97.0829436111989
4885798427|health care|UK|Chrome|2842|53.2705020110221
9040181640|Marketing Agency|CA|IE|2006|116.83895272798371
7778737967|unknown|USA|Chrome|1258|88.41910149055315
0034614337|marketing agency|England|IE|1693|73.1622457733622
8804461433|healthcare|UK|Chrome|3653|61.33438979166441
6588384289|software|UK|Chrome|283|36.11147180559945
5089024465|NULL|Greece|Chrome|8242|47.006696182833686
8513675174|health care|India|Chrome|657|41.232943611198905
3270506786|health care|Greece|Safari|1455|47.064415416798354
5429113129|Marketing Agency|US|Chrome|837|125.224379124341
9933208372|healthcare|United States|Chrome|2038|105.36895272798371
7651519374|N/A|US|Firefox|2449|89.48949357461537
0927809526|Marketing Agency|USA|Safari|4245|145.28042453358316
0508298482|unknown|Greece|Chrome|2233|29.17906649788
3663351857|software|USA|Chrome|881|102.564379124341
